Time,Artist,Description,time,link,ShabadId
NA,SDO Ji,Nayee suniya man triptiyaaa and suniyaa pauirss,29:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/649%20MGA%20SDO%201611%20Sarwani%20kirtan%20Suno%20Din%20Raati%20LD%20A%2001%201978%20Old%20Spool%20KS%201%20Top%20Most.m4a,1429
NA,SDO Ji,Sanmukh Seh Ban, 29:00 ,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/649%20MGA%20SDO%201611%20Sarwani%20kirtan%20Suno%20Din%20Raati%20LD%20A%2001%201978%20Old%20Spool%20KS%201%20Top%20Most.m4a,1684
NA,SDO Ji,Gobind jio. Mere man tan pran har bidee,40:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/649%20MGA%20SDO%201611%20Sarwani%20kirtan%20Suno%20Din%20Raati%20LD%20A%2001%201978%20Old%20Spool%20KS%201%20Top%20Most.m4a,
NA,SDO Ji,Simran track,0:00, http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/213%20MGA%20SDO%201178%2040%20A.m4a,
NA,SDO Ji,Bhinee raanRiyee,9:45,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/241%20MGA%20SDO%201206%2054%20A.m4a,
NA,SDO Ji,Partach ridya gur arjan kaa har puran bhram nivas liyoo,0:45,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/595%20MGA%20SDO%201557%20Sab%20Kish%20Pura%20Hirde%20MSA%20003%20ASR%201979.m4a,
NA,SDO Ji,Amrit naam swami tera,0:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/121%20MGA%20SDO%201087%20SM.m4a,
NA,SDO Ji,Koi ava Santo,14:55,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/021%20MGA%20SDO%201021%20smpk%2019%20Gur%20Satgur%20Vich%20Nave%20Ke%20Vaddi%20vaadai.m4a,
NA,SDO Ji,Bhaj man mere ekyo naam,27:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/021%20MGA%20SDO%201021%20smpk%2019%20Gur%20Satgur%20Vich%20Nave%20Ke%20Vaddi%20vaadai.m4a,
NA,SDO Ji,Se sanjyog ,40:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/021%20MGA%20SDO%201021%20smpk%2019%20Gur%20Satgur%20Vich%20Nave%20Ke%20Vaddi%20vaadai.m4a,
NA,SDO Ji,Gurmukh sakhi laheli meri,1:03:40,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/021%20MGA%20SDO%201021%20smpk%2019%20Gur%20Satgur%20Vich%20Nave%20Ke%20Vaddi%20vaadai.m4a,
NA,SDO Ji,Jagat meh chuuthi deki preet,22:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/543%20MGA%20SDO%201505%20123A%20Sabh%20Dhan%20kaho%20Gur%20Satgur.m4a,
NA,SDO Ji,Sab papi tareya,9:30,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/553%20MGA%20SDO%201515%20Tere%20Jan%20Dekhan%20Paavaan%20403%20Delhi%201974.m4a,
NA,SDO Ji,Tin jam neR na avA Gur Shabad Kamavaa,0:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/553%20MGA%20SDO%201515%20Tere%20Jan%20Dekhan%20Paavaan%20403%20Delhi%201974.m4a,
NA,SDO Ji,Satgur Shabad ojaro deepa,0:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/239%20MGA%20SDO%201204%2053%20A.m4a,
NA,SDO Ji,Bhini ranRiye,24:50,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/239%20MGA%20SDO%201204%2053%20A.m4a,
NA,SDO Ji,Anand anand sab ko kahaa ,4:35,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/229%20MGA%20SDO%201194%2048%20A.m4a,
NA,SDO Ji,Gursikhi barik haa,23:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/229%20MGA%20SDO%201194%2048%20A.m4a,
NA,SDO Ji,Bhaj man mere eko naam,0:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/249%20MGA%20SDO%201214%2058%20A.m4a,
NA,SDO Ji,Sadhu bin Ase abgat,0:00,http://45.41.235.33/~daassto1/audios/keertan/sdo/yt_mga/700%20MGA%20SDO%201662%20Sadhu%20Bin%20Ase%20Abgat%20Jave%2003%201962%20Anp%20Sahib%20Spool%20KS%2067.m4a,
